model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_dual,param_max_iter,param_penalty,param_solver,param_tol,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,mean_test_recall,std_test_recall,rank_test_recall,f1_test,balanced_accuracy_test,roc_auc_test,precision_test,recall_test,false_positive_rate_test,false_negative_rate_test,sensitivity_test,specificity_test,param_probability,param_kernel,param_gamma,param_degree,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,param_weights,param_p,param_n_neighbors,param_metric,param_leaf_size,param_algorithm,param_splitter,param_min_weight_fraction_leaf,param_min_impurity_decrease,param_max_leaf_nodes,param_criterion
lr_weighted,0.6888535703931536,0.0464394640650844,0.0106520652770996,0.0021483029754649,0.3786275768577449,"{0: 1, 1: 8}",False,1000.0,l2,liblinear,0.0035611247040076,"{'C': 0.37862757685774495, 'class_weight': {0: 1, 1: 8}, 'dual': False, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear', 'tol': 0.0035611247040076444}",0.4615384615384615,0.3571428571428571,0.36,0.1333333333333333,0.1666666666666666,0.2758620689655172,0.2153846153846154,0.2814182861473502,0.1094407723934602,1,0.7117224880382775,0.6495192307692308,0.6415384615384616,0.4918269230769231,0.515,0.5999038461538462,0.5641025641025641,0.5962305019541861,0.0724816215606002,1,0.724481658692185,0.755576923076923,0.7046153846153848,0.5917307692307692,0.4628846153846154,0.6265384615384614,0.6111778846153846,0.6395722424505319,0.0921030078275425,1,0.4285714285714285,0.3225806451612903,0.36,0.1,0.1186440677966101,0.2424242424242424,0.1707317073170731,0.2489931558958063,0.1167071085247492,1,0.5,0.4,0.36,0.2,0.28,0.32,0.2916666666666667,0.3359523809523809,0.0889794748173729,1,0.25,0.5854938271604938,0.5854938271604938,0.1944444444444444,0.35,0.1790123456790123,0.65,0.35,0.8209876543209876,,,,,,,,,,,,,,,,,,,,,
lr,0.8017419065747943,0.0760191638129673,0.0099835736410958,0.0015561910551204,3.466594563596801,,False,5000.0,l2,liblinear,0.0040598944804725,"{'C': 3.466594563596801, 'dual': False, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear', 'tol': 0.004059894480472596}",0.3333333333333333,0.1875,0.2564102564102564,0.0952380952380952,0.0677966101694915,0.2790697674418604,0.2222222222222222,0.2059386121164656,0.0894969458894574,1,0.6106459330143541,0.5503846153846154,0.5783653846153847,0.5039423076923077,0.463076923076923,0.5911538461538461,0.5657051282051282,0.5518963054489371,0.0479206528272724,1,0.7069377990430622,0.7234615384615385,0.7034615384615385,0.5709615384615384,0.4675,0.6171153846153845,0.5971554487179488,0.6266561782515729,0.0854478801229019,25,0.5,0.4285714285714285,0.3571428571428571,0.1176470588235294,0.0588235294117647,0.3333333333333333,0.238095238095238,0.290516206482593,0.1490581467413136,15,0.25,0.12,0.2,0.08,0.08,0.24,0.2083333333333333,0.1683333333333333,0.067981089807597,1,0.2857142857142857,0.5941358024691358,0.5941358024691358,0.3333333333333333,0.25,0.0617283950617283,0.75,0.25,0.9382716049382716,,,,,,,,,,,,,,,,,,,,,
svm_weighted,26.691274200166976,1.2151066897643736,2.174971069608416,0.4148925711023384,1.0,"{0: 1, 1: 8}",,,,,,"{'probability': True, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3, 'class_weight': {0: 1, 1: 8}, 'C': 1}",0.4705882352941176,0.5,0.3333333333333333,0.3333333333333333,0.1224489795918367,0.3278688524590164,0.1917808219178082,0.3256219365613493,0.1257773606139346,1,0.7141148325358851,0.7519230769230769,0.6399038461538462,0.6798076923076923,0.4589423076923077,0.6375,0.5448717948717949,0.632437650069229,0.093382190533275,1,0.7830940988835726,0.8226923076923076,0.6976923076923076,0.7280769230769231,0.4946153846153845,0.6342307692307692,0.6187900641025641,0.6827416936134041,0.1026576921863448,1,0.4444444444444444,0.4285714285714285,0.2857142857142857,0.2307692307692307,0.0821917808219178,0.2777777777777778,0.1428571428571428,0.2703322987080325,0.1247046272311927,1,0.5,0.6,0.4,0.6,0.24,0.4,0.2916666666666667,0.433095238095238,0.1307500601578925,7,0.3157894736842105,0.6385802469135803,0.6385802469135802,0.2432432432432432,0.45,0.1728395061728395,0.55,0.45,0.8271604938271605,True,rbf,scale,3.0,,,,,,,,,,,,,,,,,
svm,13.039155653544835,0.6377701482842002,0.6197960717337472,0.0733900637322487,1.0,,,,,,,"{'probability': True, 'kernel': 'linear', 'gamma': 'auto', 'degree': 7, 'C': 1}",0.2439024390243902,0.1463414634146341,0.3111111111111111,0.1379310344827586,0.1095890410958904,0.3076923076923076,0.1886792452830188,0.206463806014873,0.0761693290256569,1,0.5754585326953748,0.52875,0.60875,0.5102884615384615,0.4742307692307692,0.614326923076923,0.5464743589743589,0.5511827207879839,0.0478238372770232,1,0.657695374800638,0.708076923076923,0.7192307692307693,0.5244230769230769,0.4765384615384616,0.573076923076923,0.5604967948717949,0.6027911890740837,0.0865289355557378,30,0.2941176470588235,0.1875,0.35,0.1212121212121212,0.0833333333333333,0.2962962962962963,0.1724137931034483,0.2149818844291461,0.0924243319129447,1,0.2083333333333333,0.12,0.28,0.16,0.16,0.32,0.2083333333333333,0.2080952380952381,0.0655527690710302,1,0.238095238095238,0.5725308641975309,0.5725308641975309,0.2272727272727272,0.25,0.1049382716049382,0.75,0.25,0.8950617283950617,True,linear,auto,7.0,,,,,,,,,,,,,,,,,
random_forest,39.692617075783865,0.9186889716238568,0.2737618855067661,0.0265392595847875,,,,,,,,"{'n_estimators': 1000, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 14, 'bootstrap': False}",0.0,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0219780219780219,0.0347503039578942,1,0.5,0.5,0.5,0.4975961538461538,0.52,0.52,0.4927884615384615,0.5043406593406593,0.0101832881213152,1,0.6620813397129186,0.7590384615384616,0.6234615384615384,0.5980769230769231,0.5167307692307692,0.6698076923076923,0.6029647435897436,0.6331659239882924,0.0695056891871894,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2857142857142857,0.4517539514526256,1,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0114285714285714,0.018070158058105,1,0.0952380952380952,0.525,0.525,1.0,0.05,0.0,0.95,0.05,1.0,,,,,1000.0,4.0,2.0,auto,14.0,False,,,,,,,,,,,
knn,0.2191300732748849,0.0319640602007354,2.028636625834874,0.10154412107198,,,,,,,,"{'weights': 'distance', 'p': 2, 'n_neighbors': 5, 'metric': 'manhattan', 'leaf_size': 60, 'algorithm': 'kd_tree'}",0.0799999999999999,0.1481481481481481,0.0,0.0,0.088235294117647,0.1481481481481481,0.0555555555555555,0.0742981637099284,0.0567275626706833,1,0.5208333333333334,0.54,0.4879807692307692,0.4735576923076923,0.4638461538461538,0.54,0.4943910256410256,0.5029441391941392,0.028674455576027,1,0.6779306220095692,0.6772115384615385,0.7153846153846154,0.6378846153846154,0.4903846153846153,0.62125,0.5124198717948718,0.618923696917118,0.0796548687727432,6,1.0,1.0,0.0,0.0,0.0697674418604651,1.0,0.0833333333333333,0.4504429678848284,0.4768227986474565,1,0.0416666666666666,0.08,0.0,0.0,0.12,0.08,0.0416666666666666,0.0519047619047619,0.0410809167784265,1,0.2142857142857142,0.5595679012345679,0.5595679012345678,0.375,0.15,0.0308641975308641,0.85,0.15,0.9691358024691358,,,,,,,,,,,distance,2.0,5.0,manhattan,60.0,kd_tree,,,,,
decision_tree_weighted,0.0499813556671142,0.0067389937040402,0.009725877216884,0.0021456127857251,,"{0: 1, 1: 8}",,,,,,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.2, 'min_samples_split': 12, 'min_samples_leaf': 6, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 11, 'max_features': 'auto', 'max_depth': 12, 'criterion': 'entropy', 'class_weight': {0: 1, 1: 8}}",0.2564102564102564,0.2470588235294117,0.1833333333333333,0.2654867256637168,0.1913043478260869,0.1384615384615384,0.1836734693877551,0.2093897849445855,0.0438746830743455,1,0.6258971291866029,0.6219230769230769,0.5180769230769231,0.6245192307692308,0.5300961538461538,0.4492307692307692,0.53125,0.5572847547189653,0.0632864143735845,1,0.6602870813397129,0.5365384615384615,0.5166346153846154,0.6639423076923077,0.5125000000000001,0.4655769230769231,0.5256410256410258,0.5544457735247209,0.0711427768990079,1,0.1612903225806451,0.1448275862068965,0.1157894736842105,0.1704545454545454,0.1222222222222222,0.0857142857142857,0.1216216216216216,0.1317028653549181,0.0270160486545054,1,0.625,0.84,0.44,0.6,0.44,0.36,0.375,0.5257142857142857,0.1599202607424036,1,0.1632653061224489,0.5228395061728395,0.5228395061728395,0.1379310344827586,0.2,0.1543209876543209,0.8,0.2,0.845679012345679,,,,,,12.0,6.0,auto,12.0,,,,,,,,best,0.2,0.0,11.0,entropy
decision_tree,0.04844811984470913,0.0053248300084091475,0.008323839732578822,0.0010852110482401159,,,,,,,,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.2, 'min_samples_split': 8, 'min_samples_leaf': 7, 'min_impurity_decrease': 0.2, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 11, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,8.0,7.0,sqrt,11.0,,,,,,,,best,0.2,0.2,5.0,entropy
