model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_dual,param_max_iter,param_penalty,param_solver,param_tol,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,mean_test_recall,std_test_recall,rank_test_recall,f1_test,balanced_accuracy_test,roc_auc_test,precision_test,recall_test,false_positive_rate_test,false_negative_rate_test,sensitivity_test,specificity_test,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,param_weights,param_p,param_n_neighbors,param_metric,param_leaf_size,param_algorithm,param_splitter,param_min_weight_fraction_leaf,param_min_impurity_decrease,param_max_leaf_nodes,param_criterion,param_probability,param_kernel,param_gamma,param_degree
lr_weighted,0.6850330829620361,0.0501435821617259,0.0103065626961844,0.0042821170180603,0.3786275768577449,"{0: 1, 1: 8}",False,1000.0,l2,liblinear,0.0035611247040076,"{'C': 0.37862757685774495, 'class_weight': {0: 1, 1: 8}, 'dual': False, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear', 'tol': 0.0035611247040076444}",0.4399999999999999,0.3859649122807018,0.36,0.1066666666666666,0.1666666666666666,0.2758620689655172,0.2121212121212121,0.2781830752429663,0.1138413653991981,1,0.6932814992025518,0.6695192307692308,0.6415384615384616,0.4694230769230769,0.515,0.5999038461538462,0.561698717948718,0.5929092617908408,0.076204785790206,1,0.7298644338118022,0.7534615384615384,0.7071153846153847,0.5915384615384616,0.4651923076923077,0.6278846153846155,0.6149839743589743,0.6414343879804407,0.0918990469619074,1,0.4230769230769231,0.34375,0.36,0.08,0.1186440677966101,0.2424242424242424,0.1666666666666666,0.2477945571377775,0.1218704543044188,1,0.4583333333333333,0.44,0.36,0.16,0.28,0.32,0.2916666666666667,0.3299999999999999,0.0944449112966986,2,0.25,0.5854938271604938,0.5854938271604938,0.1944444444444444,0.35,0.1790123456790123,0.65,0.35,0.8209876543209876,,,,,,,,,,,,,,,,,,,,,
lr,0.6718568461281913,0.0824434434612353,0.0097919872828892,0.0019720610106337,3.1810671354413467,,False,6000.0,l2,liblinear,0.0082170645496147,"{'C': 3.1810671354413467, 'dual': False, 'max_iter': 6000, 'penalty': 'l2', 'solver': 'liblinear', 'tol': 0.008217064549614773}",0.3333333333333333,0.1875,0.2564102564102564,0.0952380952380952,0.0677966101694915,0.2790697674418604,0.2222222222222222,0.2059386121164656,0.0894969458894574,1,0.6106459330143541,0.5503846153846154,0.5783653846153847,0.5039423076923077,0.463076923076923,0.5911538461538461,0.5657051282051282,0.5518963054489371,0.0479206528272724,1,0.7169059011164274,0.7248076923076923,0.7057692307692308,0.5667307692307693,0.4653846153846154,0.6203846153846154,0.6097756410256411,0.6299654950312845,0.087737272498397,20,0.5,0.4285714285714285,0.3571428571428571,0.1176470588235294,0.0588235294117647,0.3333333333333333,0.238095238095238,0.290516206482593,0.1490581467413136,18,0.25,0.12,0.2,0.08,0.08,0.24,0.2083333333333333,0.1683333333333333,0.067981089807597,1,0.2857142857142857,0.5941358024691358,0.5941358024691358,0.3333333333333333,0.25,0.0617283950617283,0.75,0.25,0.9382716049382716,,,,,,,,,,,,,,,,,,,,,
random_forest_weighted,6.616218430655343,0.1367869464735965,0.2004693916865757,0.010115593809315,,"{0: 1, 1: 8}",,,,,,"{'n_estimators': 1000, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 6, 'class_weight': {0: 1, 1: 8}, 'bootstrap': False}",0.3225806451612903,0.2666666666666666,0.3243243243243243,0.1249999999999999,0.081081081081081,0.2,0.0425531914893617,0.1946008441032463,0.1064217668575306,1,0.5993819776714513,0.5775961538461538,0.605576923076923,0.5119230769230769,0.4494230769230769,0.551923076923077,0.4679487179487179,0.5376818576160681,0.0579759137422542,1,0.8118022328548644,0.8207692307692308,0.6317307692307692,0.7096153846153846,0.4596153846153846,0.5248076923076923,0.5170272435897436,0.6393382768547242,0.1352433335325117,43,0.7142857142857143,0.8,0.5,0.1304347826086956,0.0612244897959183,0.2,0.0434782608695652,0.3499176067942705,0.294171910539553,8,0.2083333333333333,0.16,0.24,0.12,0.12,0.2,0.0416666666666666,0.1557142857142857,0.062576030851982,1,0.3684210526315788,0.6410493827160494,0.6410493827160495,0.3888888888888889,0.35,0.0679012345679012,0.65,0.35,0.9320987654320988,1000.0,4.0,3.0,log2,6.0,False,,,,,,,,,,,,,,,
random_forest,43.313160930361065,1.2311001752553412,0.2343039853232247,0.0232444915593884,,,,,,,,"{'n_estimators': 1000, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 14, 'bootstrap': False}",0.0,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0219780219780219,0.0347503039578942,1,0.5,0.5,0.5,0.4975961538461538,0.52,0.52,0.4927884615384615,0.5043406593406593,0.0101832881213152,1,0.6561004784688995,0.7611538461538462,0.6226923076923077,0.5969230769230769,0.5082692307692307,0.6692307692307693,0.5849358974358974,0.6284722295248611,0.0730967262681447,23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2857142857142857,0.4517539514526256,1,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0114285714285714,0.018070158058105,1,0.0952380952380952,0.525,0.525,1.0,0.05,0.0,0.95,0.05,1.0,1000.0,4.0,2.0,auto,14.0,False,,,,,,,,,,,,,,,
knn,0.2091616562434605,0.010992162333216,1.837172201701573,0.078906947417922,,,,,,,,"{'weights': 'distance', 'p': 2, 'n_neighbors': 5, 'metric': 'manhattan', 'leaf_size': 60, 'algorithm': 'kd_tree'}",0.0799999999999999,0.0769230769230769,0.0,0.0526315789473684,0.0909090909090909,0.1481481481481481,0.0555555555555555,0.0720239214976057,0.041531197143633,1,0.5208333333333334,0.52,0.4879807692307692,0.4911538461538461,0.4686538461538461,0.54,0.4943910256410256,0.5032875457875459,0.0226625253198236,2,0.6815191387559808,0.6785576923076924,0.7163461538461539,0.6482692307692307,0.4905769230769231,0.6227884615384616,0.5197315705128205,0.6225413101153233,0.0793383325124645,4,1.0,1.0,0.0,0.0769230769230769,0.073170731707317,1.0,0.0833333333333333,0.4619181631376753,0.4666961131386329,1,0.0416666666666666,0.04,0.0,0.04,0.12,0.08,0.0416666666666666,0.0519047619047619,0.0350784672728606,1,0.2142857142857142,0.5595679012345679,0.5595679012345678,0.375,0.15,0.0308641975308641,0.85,0.15,0.9691358024691358,,,,,,,distance,2.0,5.0,manhattan,60.0,kd_tree,,,,,,,,,
decision_tree_weighted,0.0287568228585379,0.0016408533595591,0.0083011899675641,0.0012530985842065,,"{0: 1, 1: 8}",,,,,,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.2, 'min_samples_split': 17, 'min_samples_leaf': 8, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 19, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy', 'class_weight': {0: 1, 1: 8}}",0.2352941176470588,0.3508771929824562,0.2115384615384615,0.2608695652173913,0.1560283687943262,0.1153846153846153,0.1052631578947368,0.205036497065578,0.0808337049264125,1,0.6152312599681021,0.7341346153846153,0.5565384615384615,0.6077884615384616,0.4675961538461538,0.4445192307692308,0.4903846153846153,0.5594561140613773,0.0944061027048629,1,0.5881180223285487,0.7111538461538462,0.5238461538461539,0.6298076923076923,0.4152884615384615,0.4201923076923077,0.5084134615384615,0.5424028493436389,0.1005694472548366,1,0.136986301369863,0.2247191011235955,0.1392405063291139,0.1791044776119403,0.0948275862068965,0.0759493670886076,0.0909090909090909,0.1345337758055868,0.049367334668026,1,0.8333333333333334,0.8,0.44,0.48,0.44,0.24,0.125,0.4797619047619048,0.2432133242411595,1,0.1904761904761904,0.5271604938271606,0.5271604938271605,0.125,0.4,0.345679012345679,0.6,0.4,0.654320987654321,,17.0,8.0,log2,,,,,,,,,best,0.2,0.0,19.0,entropy,,,,
decision_tree,0.0366317544664655,0.0064966262975964,0.0093781266893659,0.0012322306875875,,,,,,,,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.2, 'min_samples_split': 8, 'min_samples_leaf': 7, 'min_impurity_decrease': 0.2, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 11, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,,8.0,7.0,sqrt,11.0,,,,,,,,best,0.2,0.2,5.0,entropy,,,,
svm_weighted,21.06862773214068,1.0012212057476415,1.6116585731506348,0.2616710747914326,1.0,"{0: 1, 1: 8}",,,,,,"{'probability': True, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3, 'class_weight': {0: 1, 1: 8}, 'C': 1}",0.5333333333333333,0.5384615384615384,0.3846153846153846,0.3373493975903614,0.1162790697674418,0.3396226415094339,0.1874999999999999,0.3481659093253562,0.1471651117242093,1,0.7284688995215312,0.74875,0.6591346153846154,0.6742307692307692,0.4653846153846154,0.6343269230769231,0.5432692307692308,0.6362235790525265,0.0933280820749503,1,0.7862838915470495,0.8159615384615385,0.7153846153846154,0.713076923076923,0.4892307692307693,0.6421153846153845,0.617588141025641,0.6828058947631315,0.1026757946876438,1,0.5714285714285714,0.5185185185185185,0.3703703703703703,0.2413793103448276,0.081967213114754,0.3214285714285714,0.15,0.3221560793150876,0.1677044268438184,1,0.5,0.56,0.4,0.56,0.2,0.36,0.25,0.4042857142857143,0.1337222219867035,10,0.3137254901960784,0.6290123456790124,0.6290123456790123,0.2580645161290322,0.4,0.1419753086419753,0.6,0.4,0.8580246913580247,,,,,,,,,,,,,,,,,,True,rbf,scale,3.0
svm,10.632709980010986,0.6230821039585738,0.491560697555542,0.10396818584225706,1.0,,,,,,,"{'probability': True, 'kernel': 'linear', 'gamma': 'auto', 'degree': 7, 'C': 1}",0.2380952380952381,0.14634146341463414,0.32558139534883723,0.13114754098360656,0.1095890410958904,0.3137254901960784,0.1851851851851852,0.20709505061706718,0.0809025541093075,1,0.5730661881977671,0.52875,0.6135576923076923,0.5030769230769231,0.47423076923076923,0.6167307692307692,0.5440705128205128,0.5504975506949191,0.04993190327439936,1,0.6658692185007975,0.7065384615384616,0.7178846153846155,0.5244230769230769,0.47365384615384615,0.5763461538461538,0.5653044871794872,0.6042885513609199,0.0869283313253587,25,0.2777777777777778,0.1875,0.3888888888888889,0.1111111111111111,0.08333333333333333,0.3076923076923077,0.16666666666666666,0.2175671550671551,0.10277958415107283,1,0.20833333333333334,0.12,0.28,0.16,0.16,0.32,0.20833333333333334,0.2080952380952381,0.06555276907103025,1,0.22727272727272727,0.566358024691358,0.5663580246913581,0.20833333333333334,0.25,0.11728395061728394,0.75,0.25,0.8827160493827161,,,,,,,,,,,,,,,,,,True,linear,auto,7.0
