model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_probability,param_kernel,param_gamma,param_degree,param_class_weight,param_C,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,mean_test_recall,std_test_recall,rank_test_recall,f1_test,balanced_accuracy_test,roc_auc_test,precision_test,recall_test,false_positive_rate_test,false_negative_rate_test,sensitivity_test,specificity_test,param_dual,param_max_iter,param_penalty,param_solver,param_tol,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,param_weights,param_p,param_n_neighbors,param_metric,param_leaf_size,param_algorithm,param_splitter,param_min_weight_fraction_leaf,param_min_impurity_decrease,param_max_leaf_nodes,param_criterion
svm_weighted,1.808598450251988,0.1408941699931717,0.1440656866346086,0.0368619185205228,True,rbf,scale,3.0,"{0: 1, 1: 8}",1.0,"{'probability': True, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3, 'class_weight': {0: 1, 1: 8}, 'C': 1}",0.48,0.4166666666666666,0.4285714285714285,0.375,0.1518987341772152,0.4561403508771929,0.2142857142857142,0.3603661277968882,0.1173023995282228,1,0.7165071770334928,0.66875,0.6607692307692308,0.6750961538461538,0.5046153846153847,0.7143269230769231,0.5625,0.6432235527630265,0.0738047696186012,16,0.8159888357256779,0.7865384615384615,0.7265384615384616,0.8092307692307692,0.5717307692307693,0.8009615384615385,0.6676682692307692,0.739808157850921,0.084664639971743,3,0.4615384615384615,0.4347826086956521,0.5294117647058824,0.3076923076923077,0.1111111111111111,0.40625,0.1875,0.3483266076776307,0.1415354843566013,1,0.5,0.4,0.36,0.48,0.24,0.52,0.25,0.3928571428571428,0.1069999046347086,16,0.2608695652173913,0.5882716049382716,0.5882716049382716,0.2307692307692307,0.3,0.1234567901234567,0.7,0.3,0.8765432098765432,,,,,,,,,,,,,,,,,,,,,,
svm,0.8204902240208217,0.2082969775358104,0.0204715728759765,0.0059314129108442,True,linear,auto,7.0,,1.0,"{'probability': True, 'kernel': 'linear', 'gamma': 'auto', 'degree': 7, 'C': 1}",0.0,0.0,0.0,0.0,0.1142857142857142,0.0,0.0,0.0163265306122448,0.0399916692699294,1,0.5,0.4975961538461538,0.4951923076923077,0.5,0.5207692307692308,0.5,0.4951923076923077,0.50125,0.0082152274442717,1,0.7117224880382774,0.8211538461538461,0.6865384615384615,0.7832692307692308,0.6155769230769231,0.7588461538461538,0.6760817307692307,0.7218841191703034,0.0651815657703799,16,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0285714285714285,0.0699854212223765,1,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0114285714285714,0.0279941684889506,1,0.0952380952380952,0.525,0.525,1.0,0.05,0.0,0.95,0.05,1.0,,,,,,,,,,,,,,,,,,,,,,
lr_weighted,0.0468344007219587,0.0017263382251971,0.0062519822801862,0.0008022318277058,,,,,"{0: 1, 1: 8}",0.4134100435126178,"{'C': 0.4134100435126178, 'class_weight': {0: 1, 1: 8}, 'dual': False, 'max_iter': 4000, 'penalty': 'l2', 'solver': 'liblinear', 'tol': 0.0004570440243574692}",0.4477611940298507,0.3733333333333333,0.3103448275862069,0.4583333333333333,0.2342342342342342,0.367816091954023,0.2272727272727272,0.345585105963387,0.0862347372949526,1,0.7455143540669856,0.6934615384615385,0.6223076923076922,0.8222115384615385,0.5845192307692308,0.7094230769230769,0.5785256410256411,0.6794232960022434,0.0830687149381229,1,0.8040271132376396,0.7934615384615384,0.7090384615384615,0.8386538461538462,0.6186538461538461,0.7888461538461538,0.6656650641025641,0.7454780033562928,0.075663979349833,2,0.3488372093023256,0.28,0.2727272727272727,0.3098591549295774,0.1511627906976744,0.2580645161290322,0.15625,0.2538429919694118,0.0689595679151435,1,0.625,0.56,0.36,0.88,0.52,0.64,0.4166666666666667,0.5716666666666667,0.1577596121892268,1,0.2539682539682539,0.5919753086419753,0.5919753086419752,0.1860465116279069,0.4,0.2160493827160493,0.6,0.4,0.7839506172839507,False,4000.0,l2,liblinear,0.0004570440243574,,,,,,,,,,,,,,,,,
lr,0.0622564043317522,0.0046711648351754,0.0075866494859967,0.0005945641575926,,,,,,3.974289969576414,"{'C': 3.974289969576414, 'dual': False, 'max_iter': 9000, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.004460614124896826}",0.2666666666666666,0.0714285714285714,0.1935483870967742,0.2,0.1777777777777777,0.3333333333333333,0.0606060606060606,0.1861943995584548,0.0905418553973537,1,0.578548644338118,0.5151923076923077,0.5527884615384615,0.5535576923076923,0.5415384615384615,0.6079807692307693,0.5016025641025641,0.5501727001069107,0.0334290367527666,1,0.7657496012759171,0.8040384615384616,0.669423076923077,0.8155769230769231,0.6248076923076924,0.7759615384615384,0.6622596153846154,0.7311167012811749,0.0712246108369406,33,0.6666666666666666,0.3333333333333333,0.5,0.2666666666666666,0.2,0.5454545454545454,0.1111111111111111,0.3747474747474747,0.1865028984948156,1,0.1666666666666666,0.04,0.12,0.16,0.16,0.24,0.0416666666666666,0.1326190476190476,0.066760987698341,1,0.1333333333333333,0.5253086419753087,0.5253086419753087,0.2,0.1,0.0493827160493827,0.9,0.1,0.9506172839506172,False,9000.0,l1,liblinear,0.0044606141248968,,,,,,,,,,,,,,,,,
random_forest_weighted,4.821695361818586,0.0626024860860885,0.227574280330113,0.0216942685246555,,,,,"{0: 1, 1: 8}",,"{'n_estimators': 1000, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 6, 'class_weight': {0: 1, 1: 8}, 'bootstrap': False}",0.3225806451612903,0.1379310344827586,0.3225806451612903,0.2325581395348837,0.135593220338983,0.1860465116279069,0.0512820512820512,0.1983674639413092,0.093660422517973,1,0.5993819776714513,0.5351923076923077,0.5975961538461538,0.56875,0.5078846153846154,0.5463461538461538,0.4871794871794871,0.5489043850885956,0.0396410218099906,1,0.8191786283891547,0.7723076923076924,0.7067307692307693,0.774423076923077,0.5128846153846154,0.6107692307692307,0.601963141025641,0.6854653077185971,0.1042817389585616,44,0.7142857142857143,0.5,0.8333333333333334,0.2777777777777778,0.1176470588235294,0.2222222222222222,0.0666666666666666,0.3902761104441777,0.276009553189704,2,0.2083333333333333,0.08,0.2,0.2,0.16,0.16,0.0416666666666666,0.15,0.0600462784488394,1,0.3076923076923077,0.6098765432098765,0.6098765432098766,0.3157894736842105,0.3,0.0802469135802469,0.7,0.3,0.9197530864197532,,,,,,1000.0,4.0,3.0,log2,6.0,False,,,,,,,,,,,
random_forest,9.428443499973842,0.2973968912053066,0.1643248626164027,0.014872212847333,,,,,,,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 14, 'bootstrap': False}",0.0,0.0,0.0,0.0,0.1333333333333333,0.0769230769230769,0.0,0.03003663003663,0.049827622192328,1,0.5,0.5,0.4975961538461538,0.4975961538461538,0.5327884615384616,0.52,0.4927884615384615,0.5058241758241758,0.0136339873713124,1,0.7639553429027113,0.7188461538461538,0.63,0.735576923076923,0.5726923076923077,0.7344230769230768,0.6137820512820513,0.6813251222461748,0.0686561357876736,25,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.1999999999999999,0.3545621041711673,1,0.0,0.0,0.0,0.0,0.08,0.04,0.0,0.0171428571428571,0.0291372543633873,1,0.0952380952380952,0.525,0.525,1.0,0.05,0.0,0.95,0.05,1.0,,,,,,800.0,2.0,2.0,auto,14.0,False,,,,,,,,,,,
knn,0.0214903695242745,0.002231989471568,0.2210897718157087,0.0167351157629099,,,,,,,"{'weights': 'distance', 'p': 2, 'n_neighbors': 5, 'metric': 'manhattan', 'leaf_size': 60, 'algorithm': 'kd_tree'}",0.0799999999999999,0.1428571428571428,0.074074074074074,0.0,0.1481481481481481,0.1428571428571428,0.0,0.0839909297052154,0.0600830792332515,1,0.5208333333333334,0.5375961538461539,0.5175961538461539,0.4951923076923077,0.5199038461538461,0.5375961538461539,0.4879807692307692,0.5166712454212453,0.017683001983585,1,0.643042264752791,0.6171153846153846,0.665,0.6657692307692309,0.5416346153846154,0.5883653846153847,0.4533253205128205,0.5963217429500325,0.0713710642009124,25,1.0,0.6666666666666666,0.5,0.0,0.1379310344827586,0.6666666666666666,0.0,0.4244663382594416,0.3579130287323845,1,0.0416666666666666,0.08,0.04,0.0,0.16,0.08,0.0,0.0573809523809523,0.0516694096265523,1,0.0952380952380952,0.525,0.525,1.0,0.05,0.0,0.95,0.05,1.0,,,,,,,,,,,,distance,2.0,5.0,manhattan,60.0,kd_tree,,,,,
decision_tree_weighted,0.0060863494873046,0.001339259937849,0.0049068246568952,0.0007883778976684,,,,,"{0: 1, 1: 8}",,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.2, 'min_samples_split': 12, 'min_samples_leaf': 6, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 11, 'max_features': 'auto', 'max_depth': 12, 'criterion': 'entropy', 'class_weight': {0: 1, 1: 8}}",0.1584158415841584,0.2580645161290322,0.2051282051282051,0.1951219512195121,0.2281879194630872,0.2499999999999999,0.1643835616438356,0.2084717135954044,0.0362757771962272,1,0.5015948963317385,0.5902884615384616,0.551826923076923,0.5422115384615385,0.5827884615384615,0.5886538461538462,0.5216346153846154,0.5541426774979407,0.0322576184009204,1,0.4507575757575757,0.6709615384615385,0.5993269230769231,0.5849038461538462,0.6108653846153846,0.5236538461538462,0.5154246794871795,0.5651276848151848,0.0677436513561221,1,0.1038961038961039,0.2162162162162162,0.1509433962264151,0.1403508771929824,0.1370967741935483,0.1914893617021276,0.1224489795918367,0.1517773870027472,0.0363100880465293,1,0.3333333333333333,0.32,0.32,0.32,0.68,0.36,0.25,0.369047619047619,0.1306238302684989,2,0.2268041237113402,0.5712962962962963,0.5712962962962963,0.1428571428571428,0.55,0.4074074074074074,0.45,0.55,0.5925925925925926,,,,,,,12.0,6.0,auto,12.0,,,,,,,,best,0.2,0.0,11.0,entropy
decision_tree,0.006285020283290318,0.001072692375051555,0.006630863462175641,0.0011963449084337126,,,,,,,"{'splitter': 'best', 'min_weight_fraction_leaf': 0.2, 'min_samples_split': 8, 'min_samples_leaf': 7, 'min_impurity_decrease': 0.2, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 11, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,8.0,7.0,sqrt,11.0,,,,,,,,best,0.2,0.2,5.0,entropy
